Filename,ASSAT,ASSAT_pi,ASSAT_pi_Act,ASSAT_pi_ActT,,,
 b_5_10_7.apx,276.13,548.28,62.57,1200,,,
 b_5_10_8.apx,270.45,416.09,34.28,1200,,,
 b_5_10_9.apx,246.32,590.18,51.52,1200,,,
 b_5_1_10.apx,104.31,313.34,40.51,165.13,,,
 b_5_2_10.apx,194.05,173.27,70.05,146.23,,,
 b_5_2_6.apx,204.56,157.38,40.02,225.22,,,
 b_5_2_7.apx,163.57,219.22,76.19,134.83,,,
 b_5_2_8.apx,199.32,174.28,141.39,223.31,,,
 b_5_2_9.apx,167.78,161.19,100.23,198.84,,,
 b_5_3_10.apx,234.54,176.33,87.83,249.44,,,
 b_5_4_10.apx,223.64,344.55,30.26,301.03,,,
 b_5_4_6.apx,218.04,167.15,42.31,222.71,,,
 b_5_4_7.apx,230.14,183.45,41.28,309.55,,,
 b_5_4_8.apx,369.47,334.36,71.28,394.22,,,
 b_5_4_9.apx,222.42,257.33,34.29,303.18,,,
 b_5_5_10.apx,389.23,191.31,34.25,275.34,,,
 b_5_6_10.apx,249.35,219.27,49.27,261.27,,,
 b_5_6_6.apx,240.56,420.06,39.26,461.29,,,
 b_5_6_7.apx,171.12,294.19,56.19,468.36,,,
 b_5_6_8.apx,326.36,214.37,41.28,449.77,,,
 b_5_6_9.apx,258.32,188.27,27.28,491.29,,,
 b_5_7_10.apx,279.32,515.12,32.22,481.26,,,
 b_5_8_10.apx,1200,91.17,46.28,587.66,,,
 b_5_8_6.apx,237.17,181.03,34.25,1200,,,
 b_5_8_7.apx,529.03,368.29,34.17,487.23,,,
 b_5_8_8.apx,266.05,1200,34.28,489.16,,,
 b_5_8_9.apx,238.34,139.38,50.22,516.03,,,
 b_5_9_10.apx,243.27,365.37,58.64,568.21,,,
 b_6_10_10.apx,1200,354.18,232.47,1200,,,
 b_6_10_6.apx,1200,1200,104.44,1200,,,
 b_6_10_7.apx,1200,1200,117.28,1200,,,
 b_6_10_8.apx,1200,1200,98.02,1200,,,
 b_6_10_9.apx,1200,1200,134.37,1200,,,
 b_6_1_10.apx,494.23,1200,496.29,477.28,,,
 b_6_2_10.apx,422.36,467.83,499.29,1200,,,
 b_6_2_6.apx,1200,516.38,1200.35,576.22,,,
 b_6_2_7.apx,1200,522.16,225.51,555.18,,,
 b_6_2_8.apx,1200,391.04,507.18,544.38,,,
 b_6_2_9.apx,1200,1200,1200.14,1200,,,
 b_6_3_10.apx,1200,1200,1200.28,1200,,,
 b_6_4_10.apx,1200,298.31,228.07,1200,,,
 b_6_4_6.apx,1200,590.17,253.28,1200,,,
 b_6_4_7.apx,1200,1200,150.19,1200,,,
 b_6_4_8.apx,1200,547.24,383.29,1200,,,
 b_6_4_9.apx,1200,509.44,243.82,1200,,,
 b_6_5_10.apx,1200,538.29,519.73,1200,,,
