Filename,ASSAT,ASSAT_pi,ASSAT_pi_Act,ASSAT_pi_ActT,,,
 e_6_6_9.apx,132.29,68.13,98.05,132.15,,,
 e_6_7_10.apx,99.17,105.07,78.29,139.19,,,
 e_6_8_10.apx,248.28,170.05,48.14,259.21,,,
 e_6_8_6.apx,137.19,156.18,54.15,348.66,,,
 e_6_8_7.apx,144.28,158.05,74.22,146.35,,,
 e_6_8_8.apx,275.04,167.06,51.05,244.55,,,
 e_6_8_9.apx,181.24,172.12,58.19,236.09,,,
 e_6_9_10.apx,294.46,144.25,157.22,1200,,,
 e_7_10_10.apx,1200,502.33,563.17,1200,,,
 e_7_10_6.apx,345.24,199.34,149.29,1200,,,
 e_7_10_7.apx,1200,463.27,252.13,1200,,,
 e_7_10_8.apx,1200,465.48,356.36,1200,,,
 e_7_10_9.apx,1200,432.16,220.2,112.48,,,
 e_7_1_10.apx,1200,163.28,180.11,323.55,,,
 e_7_2_10.apx,1200,172.38,164.17,317.37,,,
 e_7_2_6.apx,1200,172.18,158.25,324.55,,,
 e_7_2_7.apx,586.23,164.04,162.18,335.39,,,
 e_7_2_8.apx,1200,169.93,168.22,319.71,,,
 e_7_2_9.apx,1200,282.28,170.27,310.28,,,
 e_7_3_10.apx,1200,186.23,193.05,317.29,,,
 e_7_4_10.apx,1200,163.83,194.1,338.05,,,
 e_7_4_6.apx,1200,387.19,465.23,312.11,,,
 e_7_4_7.apx,411.15,174.03,183.03,305.51,,,
 e_7_4_8.apx,588.04,190.05,190.29,315.83,,,
 e_7_4_9.apx,430.16,175.12,195.07,1200,,,
 e_7_5_10.apx,1200,425.18,209.52,1200,,,
 e_7_6_10.apx,1200,391.39,208.2,1200,,,
 e_7_6_6.apx,1200,182.21,466.5,1200,,,
 e_7_6_7.apx,411.35,473.27,200.18,360.29,,,
 e_7_6_8.apx,1200,405.26,211.49,369.05,,,
 e_7_6_9.apx,1200,427.35,220.33,355.6,,,
 e_7_7_10.apx,1200,447.12,486.75,1200,,,
 e_7_8_10.apx,1200,470.27,220.07,1200,,,
 e_7_8_6.apx,540.27,428.36,219.12,1200,,,
 e_7_8_7.apx,1200,420.16,233.22,1200,,,
 e_7_8_8.apx,355.18,418.03,178.19,1200,,,
 e_7_8_9.apx,1200,416.08,361.35,1200,,,
 e_7_9_10.apx,1200,268.16,452.55,1200,,,
 e_8_10_10.apx,1200,1200,1200,1200,,,
 e_8_10_6.apx,1200,1200,1200,1200,,,
 e_8_10_7.apx,1200,1200,1200,1200,,,
 e_8_10_8.apx,1200,1200,1200,1200,,,
 e_8_10_9.apx,1200,1200,1200,1200,,,
 e_8_1_10.apx,1200,464.04,430.07,1200,,,
 e_8_2_6.apx,1200,1200,472.24,1200,,,
 e_8_2_7.apx,1200,482.33,474.44,1200,,,
 e_8_2_8.apx,1200,459.29,468.17,1200,,,
 e_8_2_9.apx,1200,465.05,476.66,1200,,,
 e_8_3_10.apx,1200,475.17,1200,1200,,,
 e_8_4_10.apx,1200,1200.37,562.36,1200,,,
 e_8_4_6.apx,1200,462.29,504.2,1200,,,
 e_8_4_7.apx,1200,523.03,1200,1200,,,
 e_8_4_8.apx,1200,1200,475.37,1200,,,
 e_8_4_9.apx,1200,488.34,1200,1200,,,
 e_8_5_10.apx,1200,1200,564.33,1200,,,
 e_8_6_10.apx,1200,1200,1200,1200,,,
 e_8_6_6.apx,1200,1200,579.21,1200,,,
 e_8_6_7.apx,1200,1200,1200,1200,,,
 e_8_6_8.apx,1200,1200,1200,1200,,,
 e_8_6_9.apx,1200,1200,1200,1200,,,
 e_8_7_10.apx,1200,1200,595.06,1200,,,
 e_8_8_10.apx,1200,1200,1200,1200,,,
 e_8_8_6.apx,1200,1200,574.14,1200,,,
 e_8_8_7.apx,1200,1200,1200,1200,,,
 e_8_8_8.apx,1200,1200,1200,1200,,,
 e_8_8_9.apx,1200,1200,1200,1200,,,
 e_8_9_10.apx,1200,1200,1200,1200,,,
 e_9_10_10.apx,1200,1200,1200,1200,,,
 e_9_10_6.apx,1200,1200,1200,1200,,,
 e_9_10_7.apx,1200,1200,1200,1200,,,
 e_9_10_8.apx,1200,1200,1200,1200,,,
 e_9_10_9.apx,1200,1200,1200,1200,,,
 e_9_1_10.apx,1200,1200,1200,1200,,,
 e_9_2_10.apx,1200,1200,1200,1200,,,
 e_9_2_6.apx,1200,1200,1200,1200,,,
 e_9_2_7.apx,1200,1200,1200,1200,,,
 e_9_2_8.apx,1200,1200,1200,1200,,,
 e_9_2_9.apx,1200,1200,1200,1200,,,
 e_9_3_10.apx,1200,1200,1200,1200,,,
 e_9_4_10.apx,1200,1200,1200,1200,,,
 e_9_4_6.apx,1200,1200,1200,1200,,,
 e_9_4_7.apx,1200,1200,1200,1200,,,
 e_9_4_8.apx,1200,1200,1200,1200,,,
 e_9_4_9.apx,1200,1200,1200,1200,,,
 e_9_5_10.apx,1200,1200,1200,1200,,,
 e_9_6_10.apx,1200,1200,1200,1200,,,
 e_9_6_6.apx,1200,1200,1200,1200,,,
 e_9_6_7.apx,1200,1200,1200,1200,,,
 e_9_6_8.apx,1200,1200,1200,1200,,,
 e_9_6_9.apx,1200,1200,1200,1200,,,
 e_9_7_10.apx,1200,1200,1200,1200,,,
 e_9_8_10.apx,1200,1200,1200,1200,,,
 e_9_8_6.apx,1200,1200,1200,1200,,,
 e_9_8_7.apx,1200,1200,1200,1200,,,
 e_9_8_8.apx,1200,1200,1200,1200,,,
 e_9_8_9.apx,1200,1200,1200,1200,,,
 e_9_9_10.apx,1200,1200,1200,1200,,,
 A-1-ER_100_100_1.apx,0.02,0.02,0.02,0.02,,,
 C-1-ER_100_100_3.apx,0.02,0.02,0.02,0.02,,,
 A-3-grd_8034_1_2.apx,1.21,1.44,1.71,1.39,,,
 A-4-grd_7891_3_9.apx,3.31,4.07,3.68,3.52,,,
 C-1-grd_8034_1_2.apx,1.49,1.4,1.44,1.39,,,
 T-2-grd_3434_3_2.apx,0.68,0.63,0.63,0.63,,,
 T-3-grd_8034_1_2.apx,1.57,1.39,1.39,1.39,,,
 T-4-grd_6756_4_7.apx,3.29,3.32,3.32,3.37,,,
 T-4-grd_8020_3_4.apx,3.26,3.67,3.72,3.72,,,
 Medium-result-b16.apx,0.55,0.22,0.22,0.22,,,
 Medium-result-b17.apx,0.44,0.22,0.17,0.22,,,
 Medium-result-b1.apx,0.71,0.32,0.32,0.32,,,
 Medium-result-b23.apx,0.92,0.37,0.37,0.37,,,
 Medium-result-b24.apx,0.81,0.42,0.42,0.43,,,
 Medium-result-b25.apx,0.4,0.22,0.22,0.22,,,
 Medium-result-b2.apx,0.65,0.37,0.37,0.37,,,
 Small-result-b28.apx,0.17,0.12,0.12,0.12,,,
 n256p5q2_e.apx,2.2,0.53,1.57,0.17,,,
 n256p3q08n.apx,70.81,0.04,208.45,11.25,,,
 n320p5q2_n.apx,36.56,0.83,14.33,0.17,,,
 n224p5q2_ve.apx,0.23,45.92,0.45,3.01,,,
 A-1-stb_291_2.apx,0.62,0.48,0.68,0.07,,,
 A-2-stb_422_250.apx,5.45,5.66,4.89,8.24,,,
 A-2-stb_428_430.apx,4.12,1.23,6.12,6.01,,,
 A-2-stb_547_485.apx,2.05,1.74,0.68,6.1,,,
 B-2-stb_287_202.apx,0.78,0.42,0.94,0.58,,,
 B-2-stb_291_2.apx,0.58,0.48,0.83,0.07,,,
 B-2-stb_330_291.apx,0.33,0.43,0.32,0.27,,,
 B-2-stb_410_118.apx,0.07,0.37,0.12,0.58,,,
 B-2-stb_625_161.apx,0.17,0.07,0.27,0.37,,,
 B-3-stb_327_100.apx,20.4,0.83,1.27,0.07,,,
 B-3-stb_339_393.apx,1.08,1.19,2.31,2.3,,,
 B-3-stb_380_405.apx,2.25,2,2.81,2.15,,,
 B-3-stb_390_450.apx,2.66,1.84,3.18,0.88,,,
 B-3-stb_428_430.apx,3.37,1.24,6.39,6,,,
 B-3-stb_430_209.apx,2.35,1.29,3.98,4.27,,,
 B-3-stb_457_193.apx,1.49,2.55,2.25,0.22,,,
 B-3-stb_522_11.apx,0.22,0.22,0.37,0.47,,,
 B-3-stb_590_330.apx,0.17,0.27,0.42,0.58,,,
 B-3-stb_696_368.apx,0.88,1.08,1.08,0.37,,,
 B-3-stb_696_412.apx,1.18,0.38,0.88,0.17,,,
 B-3-stb_763_492.apx,1.19,1.49,1.69,1.44,,,
 B-3-stb_767_429.apx,0.43,0.12,0.12,0.73,,,
 B-4-stb_547_485.apx,2,1.64,0.69,6.01,,,
 C-1-stb_373_251.apx,0.04,0.02,0.02,0.04,,,
 C-1-stb_463_93.apx,0.12,0.17,0.17,0.12,,,
 C-2-stb_304_352.apx,20.71,11.18,6.36,2.45,,,
 T-2-stb_265_466.apx,5.61,2.81,6.01,1.49,,,
 T-2-stb_339_81.apx,0.93,0.93,1.44,0.32,,,
 A-2-WS_300_16_70_30.apx,1.59,2.31,5.7,2.91,,,
 A-2-WS_300_16_90_30.apx,1.39,1.18,0.93,2.71,,,
 B-2-WS_200_20_90_50.apx,0.91,0.63,0.43,0.83,,,
 B-3-WS_300_16_70_30.apx,1.49,1.9,6.28,2.5,,,
 B-3-WS_300_16_90_30.apx,1.34,1.03,1.25,2.5,,,
 C-1-WS_200_28_70_10.apx,0.32,0.47,0.73,0.58,,,
